3g.net.vn.		43200	IN	NS	ns-129.awsdns-16.com.
3g.net.vn.		43200	IN	NS	ns-775.awsdns-32.net.
3g.net.vn.		43200	IN	NS	ns-1471.awsdns-55.org.
3g.net.vn.		43200	IN	NS	ns-1788.awsdns-31.co.uk.
3gmobifone.net.vn.	43200	IN	NS	dns19.fpt.vn.
3gmobifone.net.vn.	43200	IN	NS	dns20.fpt.vn.
3gvinaphone.net.vn.	43200	IN	NS	alan.ns.cloudflare.com.
3gvinaphone.net.vn.	43200	IN	NS	nsbak.pavietnam.net.
3gvinaphone.net.vn.	43200	IN	NS	rachel.ns.cloudflare.com.
3m.net.vn.		43200	IN	NS	ns1.dns.net.vn.
3m.net.vn.		43200	IN	NS	ns2.dns.net.vn.
3mcompany.net.vn.	43200	IN	NS	ns.3m.com.
3mcompany.net.vn.	43200	IN	NS	pigseye.mmm.com.
3n.net.vn.		43200	IN	NS	ns1.zonedns.vn.
3n.net.vn.		43200	IN	NS	ns2.zonedns.vn.
3n.net.vn.		43200	IN	NS	ns3.zonedns.vn.
3n.net.vn.		43200	IN	NS	ns4.zonedns.vn.
3q.net.vn.		43200	IN	NS	ns1.matbao.vn.
3q.net.vn.		43200	IN	NS	ns2.matbao.vn.
3s.net.vn.		43200	IN	NS	ns1.pavietnam.vn.
3s.net.vn.		43200	IN	NS	ns2.pavietnam.vn.
3t.net.vn.		43200	IN	NS	ns4.tenten.vn.
3t.net.vn.		43200	IN	NS	ns5.tenten.vn.
3t.net.vn.		43200	IN	NS	ns6.tenten.vn.
4g.net.vn.		43200	IN	NS	dns17.fpt.vn.
4g.net.vn.		43200	IN	NS	dns18.fpt.vn.
4glte.net.vn.		43200	IN	NS	dns21.fpt.vn.
4glte.net.vn.		43200	IN	NS	dns22.fpt.vn.
4kids.net.vn.		43200	IN	NS	ns1.matbao.vn.
4kids.net.vn.		43200	IN	NS	ns2.matbao.vn.
4s.net.vn.		43200	IN	NS	ns4.tenten.vn.
4s.net.vn.		43200	IN	NS	ns5.tenten.vn.
4s.net.vn.		43200	IN	NS	ns6.tenten.vn.
4sv.net.vn.		43200	IN	NS	ns1.matbao.vn.
4sv.net.vn.		43200	IN	NS	ns2.matbao.vn.
51buy.net.vn.		43200	IN	NS	ns6.east.net.
51buy.net.vn.		43200	IN	NS	ns7.east.net.
